  1      LUNA (USES LUNA RANGER STATION)
       1       1
   33.49
    1969  0.03  0.15  0.25  0.50  0.73  0.14  2.37  4.61  1.47  1.38  0.01  1.35
    1970  0.00  0.55  1.00  0.15  0.13  0.15  1.31  1.57  0.38  2.53  0.00  0.25
    1971  0.30  0.10  0.13  0.43  0.00  0.00  1.84  2.81  2.72  5.85  1.08  2.53
    1972  0.02  0.00  0.00  0.00  0.45  2.96  1.99  3.07  2.50  4.44  0.53  1.03
    1973  1.57  1.91  1.41  0.44  1.42  0.57  3.30  1.59  0.36  0.05  0.35  0.00
    1974  0.35  0.05  0.66  0.01  0.00  0.00  5.28  1.19  1.72  3.16  0.23  0.19
    1975  1.78  0.47  1.30  0.19  0.18  0.03  2.76  2.15  5.93  0.87  0.95  0.71
    1976  0.11  3.10  0.50  0.11  0.27  0.29  2.72  2.35  1.25  1.50  0.54  0.03
    1977  1.08  0.83  1.14  0.16  0.77  1.28  3.99  4.40  3.61  2.13  0.52  0.62
    1978  0.57  0.86  0.70  0.19  0.65  0.48  2.74  2.87  2.24  2.15  0.43  0.69
    1979  3.10  0.82  0.31  0.60  1.92  2.11  0.85  1.54  2.24  2.15  0.43  0.95
    1980  1.19  1.68  0.56  0.41  0.25  0.05  1.17  3.20  1.68  0.44  0.20  0.19
    1981  0.72  0.13  1.42  0.81  0.51  0.52  4.56  1.64  0.80  2.20  0.88  0.00
    1982  1.11  1.31  2.18  0.03  1.05  0.00  0.70  3.90  3.92  0.01  1.74  2.30
    1983  0.97  1.37  1.99  0.45  0.25  1.06  1.03  1.74  2.55  2.69  2.74  0.57
    1984  0.32  0.04  0.96  0.35  0.84  0.37  5.37  5.57  1.41  1.71  0.19  4.76
    1985  1.64  0.33  1.08  1.69  0.18  0.96  1.86  3.26  1.82  4.67  1.39  0.42
    1986  0.11  1.93  0.54  0.10  0.66  2.42  4.39  3.35  1.16  2.68  2.16  1.38
    1987  1.17  1.15  0.26  0.27  1.20  1.41  2.79  3.74  1.05  0.45  0.88  2.59
    1988  1.17  2.24  0.52  1.59  0.00  1.36  4.09  9.93  2.77  1.29  0.15  0.39
    1989  1.11  0.32  0.27  0.00  0.34  0.09  4.03  2.51  2.21  1.29  0.07  0.07
    1990  0.44  0.53  0.71  0.70  0.64  0.28  3.70  2.20  3.90  0.79  2.48  2.09
    1991  0.68  0.65  1.31  0.00  0.17  0.61  4.38  5.56  2.10  0.53  0.33  2.37
    1992  1.16  0.93  1.34  1.01  3.93  1.01  3.86  2.10  1.56  0.74  0.10  3.29
    1993  2.33  1.60  0.60  0.00  0.90  0.41  1.58  7.56  0.24  1.82  0.46  0.11
    1994  0.47  0.95  0.55  0.00  0.85  0.26  0.93  3.57  2.19  0.82  4.86  2.18
    1995  1.18  0.27  0.45  0.10  0.05  0.11  3.02  3.80  1.79  0.00  0.70  0.22
    1996  0.00  1.51  0.00  0.33  0.00  1.09  2.40  3.74  1.84  2.85  0.27  0.00
    1997  0.69  0.60  0.72  0.39  1.54  0.34  3.84  3.13  6.47  0.10  0.00  1.15
    1998  0.21  0.96  1.23  0.75  0.00  0.04  4.33  3.13  2.37  1.55  0.48  1.28
    1999  0.06  0.00  0.07  0.07  0.54  0.24  0.67  3.13  2.37  0.00  0.00  1.28
    2000  0.77  0.72  1.05  0.04  0.00  0.77  1.45  3.21  0.06  1.43  2.00  0.95
    2001  0.85  0.71  0.09  0.66  0.78  0.34  1.62  2.66  2.07  0.05  0.17  0.93
    2002  0.36  0.20  0.04  0.11  0.20  0.00  3.89  2.87  2.25  0.33  0.58  0.31
    2003  0.11  2.14  0.88  0.52  0.01  0.51  1.51  2.03  1.67  1.32  2.07  0.55
    2004  0.77  0.72  1.21  3.39  0.48  1.28  2.33  3.04  0.83  2.16  0.54  0.95
    2005  3.17  1.98  1.44  1.06  0.08  0.01  1.08  3.93  4.20  1.11  0.05  0.03
    2006  0.53  0.00  1.11  0.36  0.56  0.68  4.40  4.47  3.76  1.63  0.02  0.80
    2007  0.86  0.44  0.75  0.90  2.23  0.45  4.71  2.28  1.94  0.28  0.45  3.96
    2008  1.20  0.30  0.05  0.05  0.71  0.13  4.69  2.01  0.91  1.54  0.65  1.57
    2009  0.32  0.69  0.49  0.52  0.73  1.45  2.62  5.48  1.50  0.50  0.11  1.67
    2010  4.21  0.68  1.31  0.31  0.23  0.02  1.85  1.43  0.91  0.07  0.03  1.93
    2011  0.00  0.25  0.00  0.27  0.08  0.12  5.20  3.41  2.94  1.61  0.96  4.06
    2012  0.87  0.36  0.38  0.04  0.00  0.13  3.40  4.36  1.78  0.13  1.16  1.27
    2013  1.14  0.85  0.54  0.43  0.27  0.00  5.55  5.92  3.66  0.52  2.20  0.46
    2014  0.00  0.14  1.05  0.45  0.00  0.34  6.63  3.10  2.69  1.38  1.29  0.90
